rank,Name,Team,POS,Salary,Years,Total Value,Avg Annual,Affliation
1,Max Scherzer,WSH,SP,42142857,7 (2015-21),210000000,30000000,MLB
2,Stephen Strasburg,WSH,SP,36428571,7 (2017-23),175000000,25000000,
3,Mike Trout,LAA,CF,34083333,6 (2015-20),144500000,24083333,
4,Zack Greinke,ARI,SP,32421884,6 (2016-21),206500000,34416667,
5,David Price,BOS,SP,31000000,7 (2016-22),217000000,31000000,
5,Clayton Kershaw,LAD,SP,31000000,3 (2019-21),93000000,31000000,
7,Miguel Cabrera,DET,DH,30000000,10 (2014-23),292000000,29200000,
8,Yoenis Cespedes,NYM,OF,29000000,4 (2017-20),110000000,27500000,
9,Justin Verlander,HOU,SP,28000000,7 (2013-19),180000000,25714286,
9,Albert Pujols,LAA,DH,28000000,10 (2012-21),240000000,24000000,
11,Felix Hernandez,SEA,SP,27857143,7 (2013-19),175000000,25000000,
12,Jon Lester,CHC,SP,27500000,6 (2015-20),155000000,25833333,
13,Nolan Arenado,COL,3B,26000000,1 (2019),26000000,26000000,
13,Giancarlo Stanton,NYY,RF,26000000,13 (2015-27),325000000,25000000,
15,Jake Arrieta,PHI,SP,25000000,3 (2018-20),75000000,25000000,
15,Joey Votto,CIN,1B,25000000,10 (2014-23),225000000,22500000,
15,Jordan Zimmermann,DET,SP,25000000,5 (2016-20),110000000,22000000,
18,Robinson Cano,NYM,2B,24000000,10 (2014-23),240000000,24000000,
19,J.D. Martinez,BOS,OF,23750000,5 (2018-22),110000000,22000000,
20,Edwin Encarnacion,SEA,1B,23333333,3 (2017-19),60000000,20000000,
21,Josh Donaldson,ATL,3B,23000000,1 (2019),23000000,23000000,
22,Johnny Cueto,SF,SP,22666666,6 (2016-21),130000000,21666667,
23,Buster Posey,SF,C,22511111,9 (2013-21),167000000,18555556,
24,Masahiro Tanaka,NYY,SP,22000000,7 (2014-20),155000000,22142857,
25,Jacoby Ellsbury,NYY,OF,21857142,7 (2014-20),153000000,21857143,
26,Eric Hosmer,SD,1B,21625000,8 (2018-25),144000000,18000000,
27,Charlie Blackmon,COL,CF,21516666,6 (2018-23),108000000,18000000,
28,Matt Kemp,CIN,OF,21500000,8 (2012-19),160000000,20000000,
29,Freddie Freeman,ATL,1B,21359375,8 (2014-21),135000000,16875000,
30,Rick Porcello,BOS,SP,21125000,4 (2016-19),82500000,20625000,
31,Chris Davis,BAL,1B,21116517,7 (2016-22),161000000,23000000,
32,Alex Gordon,KC,LF,21000000,4 (2016-19),72000000,18000000,
32,Shin-Soo Choo,TEX,DH,21000000,7 (2014-20),130000000,18571429,
34,Carlos Santana,CLE,1B,20500000,3 (2018-20),60000000,20000000,
35,Yu Darvish,CHC,SP,20000000,6 (2018-23),126000000,21000000,
35,Cole Hamels,CHC,SP,20000000,1 (2019),20000000,20000000,
35,Mookie Betts,BOS,RF,20000000,1 (2019),20000000,20000000,
35,Russell Martin,LAD,C,20000000,1 (2019),20000000,20000000,
35,Yadier Molina,STL,C,20000000,3 (2018-20),60000000,20000000,
35,Jason Heyward,CHC,RF,20000000,8 (2016-23),184000000,23000000,
41,Jeff Samardzija,SF,SP,19800000,5 (2016-20),90000000,18000000,
42,Wei-Yin Chen,MIA,RP,19773520,5 (2016-20),80000000,16000000,
43,Justin Upton,LAA,LF,19700000,5 (2018-22),106000000,21200000,
44,Kyle Seager,SEA,3B,19500000,7 (2015-21),100000000,14285714,
45,Justin Turner,LAD,3B,19000000,4 (2017-20),64000000,16000000,
45,Mark Melancon,SF,RP,19000000,4 (2017-20),62000000,15500000,
47,Kenley Jansen,LAD,RP,18800000,5 (2017-21),80000000,16000000,
47,Anthony Rendon,WSH,3B,18800000,1 (2019),18800000,18800000,
49,Rich Hill,LAD,SP,18666667,3 (2017-19),48000000,16000000,
50,Pablo Sandoval,SF,3B,18600000,5 (2015-19),95000000,19000000,
51,Ryan Zimmerman,WSH,1B,18333333,6 (2014-19),100000000,16666667,
51,Wade Davis,COL,RP,18333333,3 (2018-20),52000000,17333333,
53,Yasmani Grandal,MIL,C,18250000,1 (2019),18250000,18250000,
54,Ryan Braun,MIL,LF,18158038,13 (2008-20),150000000,11538462,
55,Hyun-Jin Ryu,LAD,SP,17900000,1 (2019),17900000,17900000,
56,Brandon Belt,SF,1B,17200000,5 (2017-21),72800000,14560000,
56,Aroldis Chapman,NYY,RP,17200000,5 (2017-21),86000000,17200000,
56,Corey Kluber,CLE,SP,17200000,5 (2015-19),38500000,7700000,
59,Mike Leake,SEA,SP,17000000,5 (2016-20),80000000,16000000,
59,Nathan Eovaldi,BOS,SP,17000000,4 (2019-22),68000000,17000000,
59,J.A. Happ,NYY,SP,17000000,2 (2019-20),34000000,17000000,
62,Ian Kennedy,KC,SP,16500000,5 (2016-20),70000000,14000000,
62,Khris Davis,OAK,DH,16500000,1 (2019),16500000,16500000,
62,Dexter Fowler,STL,RF,16500000,5 (2017-21),82500000,16500000,
65,Michael Brantley,HOU,LF,16000000,2 (2019-20),32000000,16000000,
65,Jose Abreu,CWS,1B,16000000,1 (2019),16000000,16000000,
67,Evan Longoria,SF,3B,15500000,6 (2017-22),100000000,16666667,
68,Ian Desmond,COL,CF,15400000,5 (2017-21),70000000,14000000,
69,Matt Carpenter,STL,3B,15333333,6 (2014-19),52000000,8666667,
70,Elvis Andrus,TEX,SS,15250000,8 (2015-22),120000000,15000000,
70,Danny Duffy,KC,SP,15250000,5 (2017-21),65000000,13000000,
72,Brandon Crawford,SF,SS,15200000,6 (2016-21),75000000,12500000,
73,Jean Segura,PHI,SS,15050000,5 (2018-22),70000000,14000000,
74,Martin Prado,MIA,3B,15000000,3 (2017-19),40000000,13333333,
74,Paul Goldschmidt,STL,1B,15000000,1 (2019),15000000,15000000,
74,Charlie Morton,TB,SP,15000000,2 (2019-20),30000000,15000000,
74,Chris Sale,BOS,SP,15000000,1 (2019),15000000,15000000,
74,Lorenzo Cain,MIL,CF,15000000,5 (2018-22),80000000,16000000,
79,Jason Kipnis,CLE,2B,14666667,6 (2014-19),52500000,8750000,
80,Dustin Pedroia,BOS,2B,14521686,8 (2014-21),110000000,13750000,
81,Nelson Cruz,MIN,DH,14300000,1 (2019),14300000,14300000,
82,Jay Bruce,SEA,RF,14000000,3 (2018-20),39000000,13000000,
82,Alex Cobb,BAL,SP,14000000,4 (2018-21),57000000,14250000,
84,Gerrit Cole,HOU,SP,13500000,1 (2019),13500000,13500000,
84,Dee Gordon,SEA,2B,13500000,5 (2016-20),50000000,10000000,
86,Mark Trumbo,BAL,DH,13274428,3 (2017-19),36887268,12295756,
87,Jedd Gyorko,STL,3B,13166666,6 (2014-19),35510900,5918483,
88,Andrelton Simmons,LAA,SS,13000000,7 (2014-20),58000000,8285714,
88,Zack Britton,NYY,RP,13000000,3 (2019-21),13000000,4333333,
88,Trevor Bauer,CLE,SP,13000000,1 (2019),13000000,13000000,
88,Josh Reddick,HOU,RF,13000000,4 (2017-20),52000000,13000000,
88,Daniel Murphy,COL,1B,13000000,2 (2019-20),24000000,12000000,
93,Patrick Corbin,WSH,SP,12916666,6 (2019-24),140000000,23333333,
94,Kris Bryant,CHC,3B,12900000,1 (2019),12900000,12900000,
95,Zack Cozart,LAA,3B,12666667,3 (2018-20),38000000,12666667,
96,Ben Zobrist,CHC,2B,12500000,4 (2016-19),56000000,14000000,
96,Tyler Chatwood,CHC,RP,12500000,3 (2018-20),38000000,12666667,
98,Anthony Rizzo,CHC,1B,12285714,7 (2013-19),41000000,5857143,
99,Marcell Ozuna,STL,LF,12250000,1 (2019),12250000,12250000,
99,Andrew Miller,STL,RP,12250000,2 (2019-20),25000000,12500000,
