Column1,Name,Salary
1,Stephen Curry,40231758
2,Russell Westbrook,38506482
2,Chris Paul,38506482
4,James Harden,38199000
4,John Wall,38199000
6,LeBron James,37436858
7,Kevin Durant,37199000
8,Blake Griffin,34449964
9,Kyle Lowry,33296296
10,Paul George,33005556
11,Klay Thompson,32742000
11,Kemba Walker,32742000
11,Kawhi Leonard,32742000
11,Jimmy Butler,32742000
11,Tobias Harris,32742000
16,Gordon Hayward,32700690
17,Mike Conley,32511623
18,Kyrie Irving,31742000
19,Khris Middleton,30603448
20,Paul Millsap,30000000
21,Damian Lillard,29802321
22,Kevin Love,28942830
23,Al Horford,28000000
23,Nikola Vucevic,28000000
25,DeMar DeRozan,27739975
26,CJ McCollum,27556959
27,Nikola Jokic,27504630
27,Andrew Wiggins,27504630
27,Joel Embiid,27504630
30,Kristaps Porzingis,27285000
30,Karl-Anthony Towns,27285000
30,Devin Booker,27285000
30,D'Angelo Russell,27285000
34,Otto Porter,27250576
35,Anthony Davis,27093019
36,Andre Drummond,27093018
36,Bradley Beal,27093018
36,Hassan Whiteside,27093018
39,Jrue Holiday,26131111
40,LaMarcus Aldridge,26000000
41,Giannis Antetokounmpo,25842697
41,Steven Adams,25842697
43,Marc Gasol,25595700
44,Nicolas Batum,25565217
45,Chandler Parsons,25102512
46,Rudy Gobert,24258427
47,Harrison Barnes,24147727
48,Serge Ibaka,23271604
49,Danilo Gallinari,22615559
50,Victor Oladipo,21000000
51,Tim Hardaway Jr,20025127
52,Malcolm Brogdon,20000000
53,Terry Rozier,19894737
54,Aaron Gordon,19863636
55,Zach LaVine,19500000
56,Kent Bazemore,19269663
57,Tyler Johnson,19245370
58,Goran Dragic,19217900
59,Jeff Teague,19000000
60,Evan Turner,18606556
61,Draymond Green,18539130
61,Tristan Thompson,18539130
63,Allen Crabbe,18500000
64,Reggie Jackson,18086956
65,Julius Randle,18000000
65,Myles Turner,18000000
67,Gary Harris,17839286
68,Derrick Favors,17650000
69,Andre Iguodala,17185185
70,Bojan Bogdanovic,17000000
70,Evan Fournier,17000000
70,Bismack Biyombo,17000000
73,Clint Capela,16896552
74,Gorgui Dieng,16229213
75,Ricky Rubio,16200000
76,Jonas Valanciunas,16000000
77,Brandon Knight,15643750
78,Eric Bledsoe,15625000
78,Kelly Oubre,15625000
80,Dennis Schroeder,15500000
81,Ian Mahinmi,15450051
82,James Johnson,15349400
83,Marvin Williams,15006250
84,Marcus Morris,15000000
