Rk,Name,Pos,Tm,Salary
1,Kirk Cousins\CousKi00,QB,MIN,"$27,500,000 "
2,Marcus Mariota\MariMa01,QB,TEN,"$20,922,000 "
,Jameis Winston\WinsJa00,QB,TAM,"$20,922,000 "
4,Derek Carr\CarrDe02,QB,OAK,"$19,900,000 "
5,Joe Flacco\FlacJo00,QB,DEN,"$18,500,000 "
6,Jimmy Garoppolo\GaroJi00,QB,SFO,"$17,200,000 "
7,Mike Evans\EvanMi00,WR,TAM,"$17,000,000 "
,Von Miller\MillVo00,LB,DEN,"$17,000,000 "
,Melvin Ingram\IngrMe00,DE,LAC,"$17,000,000 "
10,Odell Beckham\BeckOd00,WR,CLE,"$16,750,000 "
11,Chandler Jones\JoneCh03,DE,ARI,"$16,500,000 "
12,Cam Newton\NewtCa00,QB,CAR,"$16,200,000 "
13,Andy Dalton\DaltAn00,QB,CIN,"$16,000,000 "
14,Jadeveon Clowney\ClowJa00,DE,SEA,"$15,967,200 "
15,Olivier Vernon\VernOl00,DE,CLE,"$15,250,000 "
16,Grady Jarrett\JarrGr00,DT,ATL,"$15,209,000 "
17,Antonio Brown\BrowAn04,WR,NWE,"$14,625,000 "
18,Taylor Lewan\LewaTa00,OT,TEN,"$14,500,000 "
19,Leonard Williams\WillLe02,DT,NYJ,"$14,200,000 "
20,Tom Brady\BradTo00,QB,NWE,"$14,000,000 "
21,Amari Cooper\CoopAm00,WR,DAL,"$13,924,000 "
22,Matthew Stafford\StafMa00,QB,DET,"$13,500,000 "
23,Reshad Jones\JoneRe99,DB,MIA,"$13,015,000 "
24,T.Y. Hilton\HiltT.00,WR,IND,"$13,000,000 "
,J.J. Watt\WattJ.00,DE,HOU,"$13,000,000 "
,Andrew Norwell\NorwAn01,G,JAX,"$13,000,000 "
,A.J. Bouye\BouyA.00,CB,JAX,"$13,000,000 "
28,Nate Solder\SoldNa00,T,NYG,"$12,900,000 "
29,Vic Beasley\BeasVi00,OLB,ATL,"$12,810,000 "
30,Darius Slay\SlayDa00,CB,DET,"$12,550,000 "
31,Brandon Scherff\ScheBr00,G,WAS,"$12,525,000 "
32,Kawann Short\ShorKa00,DT,CAR,"$12,500,000 "
,DeAndre Hopkins\HopkDe00,WR,HOU,"$12,500,000 "
,Jarvis Landry\LandJa00,WR,CLE,"$12,500,000 "
35,Calais Campbell\CampCa99,DE,JAX,"$12,000,000 "
36,Sammy Watkins\WatkSa00,WR,KAN,"$11,950,000 "
37,Alshon Jeffery\JeffAl00,WR,PHI,"$11,750,000 "
38,Eli Manning\MannEl00,QB,NYG,"$11,500,000 "
39,Patrick Peterson\PetePa00,CB,ARI,"$11,000,000 "
,Larry Fitzgerald\FitzLa00,WR,ARI,"$11,000,000 "
,Philip Rivers\RivePh00,QB,LAC,"$11,000,000 "
,Josh Norman\NormJo01,CB,WAS,"$11,000,000 "
43,Terron Armstead\ArmsTe00,OT,NOR,"$10,700,000 "
44,Jurrell Casey\CaseJu00,DL,TEN,"$10,550,000 "
45,Malcolm Butler\ButlMa01,CB,TEN,"$10,500,000 "
,Ryan Kerrigan\KerrRy00,DE,WAS,"$10,500,000 "
,Bobby Wagner\WagnBo00,ILB,SEA,"$10,500,000 "
48,Xavier Rhodes\RhodXa00,CB,MIN,"$10,400,000 "
49,Eric Fisher\FishEr00,OT,KAN,"$10,350,000 "
50,Emmanuel Sanders\SandEm00,WR,DEN,"$10,250,000 "
,Andrew Whitworth\WhitAn20,T,LAR,"$10,250,000 "
52,Janoris Jenkins\JenkJa03,CB,NYG,"$10,150,000 "
53,Luke Kuechly\KuecLu00,ILB,CAR,"$10,000,059 "
54,Joe Haden\HadeJo99,DB,PIT,"$10,000,000 "
,Kevin Zeitler\ZeitKe00,G,NYG,"$10,000,000 "
,Zack Martin\MartZa00,OT,DAL,"$10,000,000 "
,Keenan Allen\AlleKe00,WR,LAC,"$10,000,000 "
,Tyron Smith\SmitTy00,OT,DAL,"$10,000,000 "
,Ryan Jensen\JensRy00,T,TAM,"$10,000,000 "
60,Allen Robinson\RobiAl02,WR,CHI,"$9,900,000 "
61,Lavonte David\DaviLa00,OLB,TAM,"$9,750,000 "
62,Kelechi Osemele\OsemKe00,T,NYJ,"$9,700,000 "
63,Andrus Peat\PeatAn00,OT,NOR,"$9,625,000 "
,D.J. Humphries\HumpD.00,OT,ARI,"$9,625,000 "
65,Julio Jones\JoneJu02,WR,ATL,"$9,600,000 "
66,Logan Ryan\RyanLo00,CB,TEN,"$9,500,000 "
,Jimmy Smith\SmitJi03,CB,BAL,"$9,500,000 "
,Desmond Trufant\TrufDe00,CB,ATL,"$9,500,000 "
69,Danielle Hunter\HuntDa01,DE,MIN,"$9,400,000 "
,Riley Reiff\ReifRi00,OT,MIN,"$9,400,000 "
71,Nelson Agholor\AghoNe00,WR,PHI,"$9,387,000 "
72,Brandon Williams\WillBr02,DT,BAL,"$9,250,000 "
73,Shaq Thompson\ThomSh01,OLB,CAR,"$9,232,000 "
,Bud Dupree\DuprAl00,DE,PIT,"$9,232,000 "
75,Dre Kirkpatrick\KirkDr00,CB,CIN,"$9,150,000 "
76,Aaron Donald\DonaAa00,DT,LAR,"$9,108,000 "
77,Damarious Randall\RandDa00,FS,CLE,"$9,069,000 "
,Marcus Peters\PeteMa00,CB,2TM,"$9,069,000 "
,Trae Waynes\WaynTr00,CB,MIN,"$9,069,000 "
80,Arik Armstead\ArmsAr01,DE,SFO,"$9,046,000 "
81,Devin McCourty\McCoDe99,DB,NWE,"$9,000,000 "
,Ricky Wagner\WagnRi00,OT,DET,"$9,000,000 "
83,Stefon Diggs\DiggSt00,WR,MIN,"$8,900,000 "
,Linval Joseph\JoseLi99,DT,MIN,"$8,900,000 "
85,Cameron Heyward\HeywCa01,DE,PIT,"$8,750,000 "
86,David Bakhtiari\BakhDa00,OT,GNB,"$8,500,000 "
,Prince Amukamara\AmukPr00,CB,CHI,"$8,500,000 "
,Alex Mack\MackAl20,C,ATL,"$8,500,000 "
89,Harrison Smith\SmitHa00,FS,MIN,"$8,350,000 "
90,Rodney Hudson\HudsRo00,OL,OAK,"$8,250,000 "
91,Ronald Leary\LearRo00,G,DEN,"$8,150,000 "
92,Malcolm Jenkins\JenkMa99,DB,PHI,"$8,100,000 "
93,Joe Staley\StalJo20,T,SFO,"$8,050,000 "
94,Geno Atkins\AtkiGe99,DT,CIN,"$8,000,000 "
,Brandon Brooks\BrooBr00,G,PHI,"$8,000,000 "
,Derek Wolfe\WolfDe00,DT,DEN,"$8,000,000 "
,Kelvin Beachum\BeacKe00,T,NYJ,"$8,000,000 "
,Zach Ertz\ErtzZa00,TE,PHI,"$8,000,000 "
,Duane Brown\BrowDu20,G,SEA,"$8,000,000 "
,Casey Hayward\HaywCa00,DB,LAC,"$8,000,000 "
,Sheldon Richardson\RichSh00,DT,CLE,"$8,000,000 "
,Akiem Hicks\HickAk00,DE,CHI,"$8,000,000 "
,Tony Jefferson\JeffTo00,FS,BAL,"$8,000,000 "
,Aqib Talib\TaliAq99,DB,LAR,"$8,000,000 "
,Trumaine Johnson\JohnTr05,CB,NYJ,"$8,000,000 "
,Cameron Jordan\JordCa00,DE,NOR,"$8,000,000 "
107,Kenny Stills\StilKe00,WR,HOU,"$7,975,000 "
108,Charles Leno\LenoCh00,OG,CHI,"$7,900,000 "
109,Mike Daniels\DaniMi00,DT,DET,"$7,800,000 "
,Chris Harris\HarrCh01,CB,DEN,"$7,800,000 "
111,Michael Brockers\BrocMi00,DT,LAR,"$7,777,777 "
112,Larry Warford\WarfLa00,OG,NOR,"$7,650,000 "
113,Travis Kelce\KelcTr00,TE,KAN,"$7,500,000 "
,T.J. Carrie\CarrTr00,CB,CLE,"$7,500,000 "
,Jabaal Sheard\SheaJa00,DL,IND,"$7,500,000 "
,Aaron Colvin\ColvAa00,CB,2TM,"$7,500,000 "
117,Kyle Rudolph\RudoKy00,TE,MIN,"$7,275,000 "
118,Marqise Lee\LeexMa00,WR,JAX,"$7,250,000 "
119,Star Lotulelei\LotuSt00,DT,BUF,"$7,150,000 "
120,David DeCastro\DeCaDa00,G,PIT,"$7,070,000 "
121,Tyrone Crawford\CrawTy00,DE,DAL,"$7,000,000 "
,Cameron Brate\BratCa00,TE,TAM,"$7,000,000 "
,Marshal Yanda\YandMa20,T,BAL,"$7,000,000 "
,Dont'a Hightower\HighDo01,ILB,NWE,"$7,000,000 "
,Christian Kirksey\KirkCh00,OLB,CLE,"$7,000,000 "
,Donovan Smith\SmitDo02,OT,TAM,"$7,000,000 "
,Richard Sherman\SherRi00,DB,SFO,"$7,000,000 "
128,Albert Wilson\WilsAl02,WR,MIA,"$6,975,000 "
129,Jerry Hughes\HughJe99,DE,BUF,"$6,800,000 "
130,Gabe Jackson\JackGa00,OG,OAK,"$6,750,000 "
,Damon Harrison\HarrDa03,DT,DET,"$6,750,000 "
132,Trey Burton\BurtTr01,TE,CHI,"$6,700,000 "
133,La'el Collins\CollLa01,OT,DAL,"$6,516,750 "
134,Zach Fulton\FultZa00,OG,HOU,"$6,500,000 "
,Mario Addison\AddiMa00,DE,CAR,"$6,500,000 "
,Joel Bitonio\BitoJo00,OT,CLE,"$6,500,000 "
,Anthony Hitchens\HitcAn00,OLB,KAN,"$6,500,000 "
,Jake Matthews\MattJa00,OT,ATL,"$6,500,000 "
,Marvin Jones\JoneMa02,WR,DET,"$6,500,000 "
140,Kiko Alonso\AlonKi00,ILB,NOR,"$6,485,000 "
141,Everson Griffen\GrifEv99,DE,MIN,"$6,400,000 "
142,Byron Jones\JoneBy00,CB,DAL,"$6,266,000 "
143,Anthony Castonzo\CastAn00,OL,IND,"$6,250,000 "
144,Laurent Duvernay-Tardif\DuveLa00,OT,KAN,"$6,203,000 "
145,LeSean McCoy\McCoLe01,RB,KAN,"$6,175,000 "
146,Chris Hubbard\HubbCh00,G,CLE,"$6,150,000 "
147,Robert Woods\WoodRo02,WR,LAR,"$6,000,000 "
,Brian Winters\WintBr00,OG,NYJ,"$6,000,000 "
,Mohamed Sanu\SanuMo00,WR,ATL,"$6,000,000 "
,Travis Frederick\FredTr00,C,DAL,"$6,000,000 "
,Stephon Tuitt\TuitSt00,DT,PIT,"$6,000,000 "
,DaQuan Jones\JoneDa04,DT,TEN,"$6,000,000 "
,Mike Pouncey\PounMi00,OL,LAC,"$6,000,000 "
,Robert Quinn\QuinRo00,DE,DAL,"$6,000,000 "
,Mitchell Schwartz\SchwMi00,T,KAN,"$6,000,000 "
,Benardrick McKinney\McKiBe00,ILB,HOU,"$6,000,000 "
157,Demario Davis\DaviDe00,OLB,NOR,"$5,950,000 "
158,Adam Thielen\ThieAd00,WR,MIN,"$5,850,000 "
159,Bryan Bulaga\BulaBr20,T,GNB,"$5,800,000 "
,Danny Trevathan\TrevDa00,OLB,CHI,"$5,800,000 "
,Trent Murphy\MurpTr00,DE,BUF,"$5,800,000 "
162,Whitney Mercilus\MercWh00,DE,HOU,"$5,750,000 "
,D.J. Hayden\HaydDJ00,CB,JAX,"$5,750,000 "
164,David Johnson\JohnDa08,RB,ARI,"$5,700,000 "
165,Melvin Gordon\GordMe00,RB,LAC,"$5,605,000 "
166,Bobby McCain\McCaBo01,CB,MIA,"$5,600,000 "
167,Marcus Cannon\CannMa00,OL,NWE,"$5,500,000 "
,Weston Richburg\RichWe00,C,SFO,"$5,500,000 "
,Greg Robinson\RobiGr01,OT,CLE,"$5,500,000 "
,J.C. Tretter\TretJC00,OG,CLE,"$5,500,000 "
,Brandon Linder\LindBr00,OG,JAX,"$5,500,000 "
,Taylor Gabriel\GabrTa00,WR,CHI,"$5,500,000 "
173,Trai Turner\TurnTr01,OG,CAR,"$5,297,000 "
174,Ndamukong Suh\SuhxNd99,DT,TAM,"$5,250,000 "
,Eric Ebron\EbroEr00,TE,IND,"$5,250,000 "
,Travis Benjamin\BenjTr00,WR,LAC,"$5,250,000 "
177,Jack Doyle\DoylJa00,TE,IND,"$5,150,000 "
178,Russell Wilson\WilsRu00,QB,SEA,"$5,000,000 "
,Bradley Roby\RobyBr00,CB,HOU,"$5,000,000 "
,Trent Brown\BrowTr02,OT,OAK,"$5,000,000 "
,Justin Pugh\PughJu00,OG,ARI,"$5,000,000 "
,Ja'Wuan James\JameJa01,OT,DEN,"$5,000,000 "
,Todd Gurley\GurlTo01,RB,LAR,"$5,000,000 "
,Paul Richardson\RichPa01,WR,WAS,"$5,000,000 "
,Nick Foles\FoleNi00,QB,JAX,"$5,000,000 "
,Alejandro Villanueva\VillAl00,OL,PIT,"$5,000,000 "
,Tyrell Williams\WillTy00,WR,OAK,"$5,000,000 "
188,Robbie Gould\gouldrob01,K,SFO,"$4,971,000 "
189,Dee Ford\FordDe00,DE,SFO,"$4,750,000 "
,Morgan Moses\MoseMo00,OT,WAS,"$4,750,000 "
,Vernon Davis\DaviVe00,TE,WAS,"$4,750,000 "
192,Lamarcus Joyner\JoynLa00,CB,OAK,"$4,700,000 "
193,Justin Britt\BritJu00,OT,SEA,"$4,500,000 "
,Dontari Poe\PoexDo00,DT,CAR,"$4,500,000 "
,Ben Jones\JoneBe01,C,TEN,"$4,500,000 "
,Brandon Carr\CarrBr99,DB,BAL,"$4,500,000 "
197,Rhett Ellison\ElliRh00,FB,NYG,"$4,475,000 "
198,Mitch Morse\MorsMi00,OT,BUF,"$4,400,000 "
199,Corey Linsley\LinsCo00,C,GNB,"$4,300,000 "
200,Jared Goff\GoffJa00,QB,LAR,"$4,259,683 "
201,Eric Weddle\WeddEr99,DB,LAR,"$4,250,524 "
